"question_text","option_a","option_b","option_c","option_d","correct_option","difficulty","topic","explanation"
"What is the output of the following JavaScript code? Code: const nums = [1, 2, 3]; const result = nums.map(n => n * 2).filter(n => n > 3); console.log(result);","[2, 4, 6]","[4, 6]","[1, 2, 3]","[3, 6]","B","medium","JavaScript arrays",""
"Which change best fixes the bug in this React component? Code: function Counter() { const [count, setCount] = useState(0); function inc() { setCount(count + 1); setCount(count + 1); } return <button onClick={inc}>{count}</button>; }","Replace both calls with setCount(count++)","Use setCount(prev => prev + 1) twice","Move setCount outside inc","Use useEffect to update count after render","B","medium","React state updates",""
"What is the most likely problem with this Node.js route? Code: app.get(""/users/:id"", async (req, res) => { const user = await db.query(`SELECT * FROM users WHERE id = ${req.params.id}`); res.json(user.rows[0]); });","The route should use POST instead of GET","The query is vulnerable to SQL injection","res.json cannot return objects","req.params.id is always undefined","B","medium","Backend security",""
"What will this Python code print? Code: items = [] for i in range(3): items.append(lambda: i) print([fn() for fn in items])","[0, 1, 2]","[1, 2, 3]","[2, 2, 2]","[0, 0, 0]","C","medium","Python closures",""
"Which SQL result is produced by this query? Code: -- table orders: id, status -- rows: (1, ""paid""), (2, ""pending""), (3, ""paid"") SELECT status, COUNT(*) AS total FROM orders GROUP BY status;","One row with total 3","Two rows: paid = 2 and pending = 1","Three rows, one per order id","The query fails because COUNT needs WHERE","B","medium","SQL aggregation",""
"What does this C++ code print? Code: #include <iostream> using namespace std; int main() { int x = 5; int& y = x; y = 10; cout << x; }","5","10","Compilation error","Undefined behavior","B","medium","C++ references",""
"Which statement best describes the issue in this Express middleware order? Code: app.get(""/profile"", profileHandler); app.use(authMiddleware); app.get(""/settings"", settingsHandler);","authMiddleware protects both routes","authMiddleware protects only /profile","/profile is registered before authMiddleware, so it may bypass auth","Express does not allow middleware after routes","C","medium","Express middleware",""
"What is the output of this Java code? Code: String a = new String(""test""); String b = new String(""test""); System.out.println(a == b); System.out.println(a.equals(b));","true then true","false then true","true then false","false then false","B","medium","Java strings",""
"Which option is the best fix for this async JavaScript bug? Code: async function load() { const data = fetch(""/api/items""); console.log(data.length); }","Add await before fetch and parse the response before using data","Replace async with sync","Use var instead of const","Move console.log outside the function","A","medium","Async JavaScript",""
"What is wrong with this React list rendering code? Code: {users.map((user, index) => ( <UserCard key={index} user={user} /> ))}","map cannot render components","index as key can cause incorrect UI updates when list order changes","key must be passed as user prop","React requires a for loop instead of map","B","medium","React rendering",""
"What will this TypeScript code report? Code: let value: string | number = ""42""; value = 42; console.log(value.toUpperCase());","It prints 42","It prints ""42""","TypeScript reports an error because number may not have toUpperCase","It compiles because union types allow all methods","C","medium","TypeScript unions",""
"Which database concept prevents this double-spend style bug most directly? Code: balance = SELECT balance FROM accounts WHERE id = 1; if balance >= 100: UPDATE accounts SET balance = balance - 100 WHERE id = 1;","CSS minification","Transaction with locking or conditional update","Client-side validation only","Adding more API routes","B","medium","Database concurrency",""
"What does this Python function return for factorial(4)? Code: def factorial(n): if n == 0: return 1 return n * factorial(n - 1) print(factorial(4))","4","10","24","16","C","medium","Recursion",""
"Which HTTP status code is most appropriate for this situation? Code: POST /login Body: { ""email"": ""wrong@example.com"", ""password"": ""bad"" } Result: credentials are invalid","200 OK","201 Created","401 Unauthorized","500 Internal Server Error","C","medium","HTTP semantics",""
"What is the output of this JavaScript code? Code: console.log(typeof null); console.log(Array.isArray([]));","null then true","object then true","undefined then false","array then true","B","medium","JavaScript types",""
"Which option best describes this CSS behavior? Code: .box { width: 200px; padding: 20px; border: 5px solid black; box-sizing: border-box; }","The visible box width remains 200px including padding and border","The visible box width becomes 250px","Padding is ignored","Border is drawn outside the browser viewport","A","medium","CSS box model",""
"What will this MongoDB query return? Code: db.users.find({ age: { $gte: 18 }, active: true })","Users younger than 18 who are active","Users at least 18 years old and active","All users because $gte is ignored","Only inactive users older than 18","B","medium","MongoDB queries",""
"Which option is the strongest fix for this security issue? Code: localStorage.setItem(""accessToken"", token); // token is long-lived and gives full account access","Store the token in a global variable forever","Use short-lived access tokens and safer refresh/session handling","Encode the token with Base64 before storing it","Rename accessToken to authValue","B","medium","Authentication security",""
"What is the output of this C++ code? Code: #include <iostream> using namespace std; void change(int x) { x = 20; } int main() { int a = 10; change(a); cout << a; }","10","20","0","Compilation error","A","medium","Pass by value",""
"Which option best explains why this API design is risky? Code: app.delete(""/users/:id"", (req, res) => { db.deleteUser(req.params.id); res.sendStatus(204); });","DELETE requests cannot use params","The route deletes without checking authentication and authorization","204 responses always contain JSON","User IDs cannot be numbers","B","medium","API authorization",""
