question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,topic,explanation
A team is reviewing a full-stack feature where a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which design choice is the strongest long-term fix?,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Put the retry loop only in the client and ask the user not to refresh during payment.,A,medium,Idempotency & Retry Safety,
"During production debugging, engineers discover that a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which response best addresses the root cause rather than only the symptom?","Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Put the retry loop only in the client and ask the user not to refresh during payment.,A,medium,Idempotency & Retry Safety,
A senior developer asks how to make the system safer when a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which option is the most technically sound?,Put the retry loop only in the client and ask the user not to refresh during payment.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,B,medium,Idempotency & Retry Safety,
"In a code review, you notice that a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which improvement should be prioritized before release?",Put the retry loop only in the client and ask the user not to refresh during payment.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",D,medium,Idempotency & Retry Safety,
A candidate is asked to redesign a feature because a payment or order endpoint can be retried after a timeout and duplicate records sometimes appear. Which answer shows the best full-stack judgment?,Put the retry loop only in the client and ask the user not to refresh during payment.,"Require an idempotency key, store the first completed result atomically, and return the stored outcome for repeated keys.",Make the endpoint use POST but log every retry so support can reverse accidental duplicates.,Check for duplicate-looking rows after insertion and merge them in a scheduled cleanup job.,B,medium,Idempotency & Retry Safety,
A team is reviewing a full-stack feature where a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which design choice is the strongest long-term fix?,Move all product data into localStorage and refresh it only during login.,Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,D,medium,HTTP Caching Strategy,
"During production debugging, engineers discover that a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which response best addresses the root cause rather than only the symptom?",Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Move all product data into localStorage and refresh it only during login.,A,medium,HTTP Caching Strategy,
A senior developer asks how to make the system safer when a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which option is the most technically sound?,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Disable caching everywhere so users always receive the newest server response.,Move all product data into localStorage and refresh it only during login.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,D,medium,HTTP Caching Strategy,
"In a code review, you notice that a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which improvement should be prioritized before release?",Disable caching everywhere so users always receive the newest server response.,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Move all product data into localStorage and refresh it only during login.,C,medium,HTTP Caching Strategy,
A candidate is asked to redesign a feature because a product page is slow but data changes only occasionally and stale content must be corrected quickly. Which answer shows the best full-stack judgment?,Cache the response for a long fixed time and manually tell users to refresh when content changes.,Use Cache-Control with ETag or Last-Modified validation so clients reuse cached data and revalidate cheaply.,Disable caching everywhere so users always receive the newest server response.,Move all product data into localStorage and refresh it only during login.,B,medium,HTTP Caching Strategy,
